timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687630828687,519,/api-clients/,400,Bad Request,SimpleBooksApi - setUp 1-1,,false,,117,320,1,1,https://simple-books-api.glitch.me/api-clients/,519,0,410
1687630829903,333,/api-clients/,400,Bad Request,SimpleBooksApi - setUp 1-1,,false,,117,318,1,1,https://simple-books-api.glitch.me/api-clients/,333,0,221
1687630830241,356,/api-clients/,400,Bad Request,SimpleBooksApi - setUp 1-1,,false,,117,322,1,1,https://simple-books-api.glitch.me/api-clients/,356,0,246
1687630830599,327,/api-clients/,400,Bad Request,SimpleBooksApi - setUp 1-1,,false,,117,320,1,1,https://simple-books-api.glitch.me/api-clients/,327,0,214
1687630830929,350,/api-clients/,400,Bad Request,SimpleBooksApi - setUp 1-1,,false,,117,320,1,1,https://simple-books-api.glitch.me/api-clients/,350,0,234
1687630831283,273,/api-clients/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,SimpleBooksApi - setUp 1-1,text,false,,2859,0,1,1,https://simple-books-api.glitch.me/api-clients/,0,0,257
